Date,Genotype,"Week 1 set or week 2 set? (generation time is 2 weeks, so sets were staggered to have flies out each week)",Wing clipping pattern was matched within treatment or mismatched,Plate # within a batch,"Three-way mating pattern (FC = female CMY chooser, MS = male starch chooser, etc).",Assay start time,AM or PM?,Order,well possition,Copulation initiation time,Copulation end time,Male wing clip,Female wing clip,Mating pattern,Male diet treatment,Female diet treatment,Type of mating pattern,Binary assortative/disassortative,Loder,Loader,Data recorder,Copulation latency,Latency as integer,Copulation duration,Duration as integer
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,10,,9:51,10:06,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:15:00,0:15:00,15,15
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,12,,9:55,10:19,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:19:00,0:24:00,19,24
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,13,,9:56,10:20,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:20:00,0:24:00,20,24
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,16,,10:01,10:26,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:25:00,0:25:00,25,25
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,1,,9:29,9:49,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:16:00,0:20:00,16,20
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,2,,9:30,9:47,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:17:00,0:17:00,17,17
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,4,,9:31,9:48,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:18:00,0:17:00,18,17
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,5,,9:33,9:58,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:20:00,0:25:00,20,25
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,6,,9:39,10:01,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:26:00,0:22:00,26,22
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,7,,9:40,10:00,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:27:00,0:20:00,27,20
5/7/14,Canton s,2,matched,1,FC,9:13:00,am,9,,9:46,10:02,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:33:00,0:16:00,33,16
