date,genotype,Number of males held together before assay,Wing clipping pattern was matched within treatment or mismatched,"Week 1 set or week 2 set? (generation time is 2 weeks, so sets were staggered to have flies out each week)",Plate # within a batch,Assay start time,AM or PM?,Order of mating within a plate,Well position,Copulation initiation time (first pair to mate),Copulation end time (first pair to mate),Male wing clip  (first pair to mate),Female wing clip (first pair to mate),Mating pattern (first pair to mate),Treatment of first female to mate,Treatment of first male to mate,"Diet treatment of first mating pair, (female x male)",Binary: assortative or no?,Loader,Loader,Data recorder,Copulation latency,Latency as integer,Copulation duration,Duration as integer
3/21/13,Canton-s,10,matched,1,2,9:46:00,am,NA,C5,10:15:00,NA,no clip,L,disassortative,CMY,Starch,CxS,0,michael and mike,NA,Michael,0:29:00,29.00,#VALUE!,#VALUE!
3/21/13,Canton-S,10,matched,1,4,15:09:00,pm,3,B1,15:35:00,NA,L,R,disassortative,Starch,CMY,SxC,0,Michael and Mike,NA,Michael,0:26:00,26.00,#VALUE!,#VALUE!
3/21/13,Canton-S,10,matched,1,4,15:09:00,pm,1,C1,15:29:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Michael,0:20:00,20.00,#VALUE!,#VALUE!
3/21/13,Canton-S,10,matched,1,4,15:09:00,pm,4,A5,15:47:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Michael,0:38:00,38.00,#VALUE!,#VALUE!
3/21/13,Canton-s,10,matched,1,4,13:09:00,pm,NA,A1,13:33:00,NA,no clip,L,disassortative,CMY,Starch,CxS,0,michael and mike,NA,Robbie and Michael,0:24:00,24.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,4,B6,10:25:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Michael & Robbie,0:07:00,7.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,6,C4,10:26:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Michael & Robbie,0:08:00,8.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,7,C1,10:27:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Michael & Robbie,0:09:00,9.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,8,A1,10:27:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Michael & Robbie,0:09:00,9.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,11,D1,10:30:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Michael & Robbie,0:12:00,12.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,16,B3,10:36:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Michael & Robbie,0:18:00,18.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,17,B5,10:37:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Michael & Robbie,0:19:00,19.00,#VALUE!,#VALUE!
3/22/13,allRAL,10,matched,1,1,10:18:00,am,22,C6,10:45:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Michael & Robbie,0:27:00,27.00,#VALUE!,#VALUE!
